sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	standard-price-point	ProductTaxCode
NC-HYALURACID50G	B01IFH0AIG	29.95															
NC-INOSITOL1LB	B08QC4V25L	18.95															
NC-INTRA-30PL	B08WFYZGQM	24.95															
NC-INTRA-PEACHMANG30	B08WGDX2PH	24.95															
NC-IODINE-240TAB	B0971WQRMH	10.00															
NC-KALE1LB-PWD	B073ZM351W	18.95															
NC-KELP-240TAB	B0971TDFRC	10.00															
NC-KRILL60C	B01B1X2PZ2	12.95															
NC-KSM66-60C	B079K32QB6	14.95															
NC-KoGINS240	B0773S55BR	19.95															
NC-L-LEUC500G	B01BCNGPCU	19.95															
NC-L-LYS500C-1	B01CV1FFS2	17.95															
NC-L-SERINE8OZ	B08W2S48GK	19.95															
NC-L-THEAN120C	B01B3RWQNM	11.95															
NC-LACENZ-150G	B07BHTXLDC	18.95															
NC-LACIDO-PROB-120	B06Y1XXXG6	15.95															
NC-LACT-ENZ-VCP1	B076CV19JV	14.95															
NC-LACTASE500G	B0748ZBQ47	19.95															
NC-LARG-1KG	B01GSCXRW6	36.99	42														
NC-LARG-LCIT-120C	B0897XG1VQ	11.95															
NC-LARG1000-150T	B07W8XM8H1	14.95															
NC-LARG1000-300T	B07W8YC89F	25.95															
NC-LARG250G	B00ZYPT3YK	11.95		11.95	percent	10	5.00										
NC-LARG300CP	B01CUWIURK	11.99															
NC-LARG500G-1	B00WISWRLW	19.96															
NC-LARGLORN180	B01CKNC8GI	14.95															
NC-LCARN250-1	B01MQDLB83	17.95	250														
NC-LCARNOS-50G	B0892V34FN	29.95															
NC-LCARNOS120C	B07XSHFN58	34.95															
NC-LCARTAR-240CPS	B06Y1BTLGK	19.95															
NC-LCARTART100G	B00XD03VGE	11.95															
NC-LCIT-500MG120C	B07H4YS9L7	10.00															
NC-LCIT12KG	B01E7YL0UI	39.95															
NC-LCIT300-BR	B01LXORG8B	18.99	217														
NC-LCIT300-SK	B01LX1BGEW	18.99	250														
NC-LCIT600-BR	B01M0XZQBL	28.95	112														
NC-LCIT600-SK	B01LZN2MHX	28.95	250														
NC-LCITM-PWD300	B00N1A2JM8	18.95															
NC-LCITM-PWD600	B010RIW67O	27.99		27.95	fixed	30	26.00										
NC-LGLUT180C	B01DCKSO84	11.95															
NC-LGLUT250G-1	B01MFDA8ZH	13.99	250														
NC-LGLUT500-BR	B01MCSVVS0	19.99	156														
NC-LGLUT500-FP	B01M63BX6N	19.95	250														
NC-LGLUT500G	B00SHXE7VK	19.95															
NC-LICORIC120C	B08RR6ZF17	12.95															
NC-LISOL-240	B06XZWV138	14.95															
NC-LLYS-1KG	B079J33VZW	20.95															
NC-LLYS-500G	B079J3JWQF	14.95															
NC-LLYS250C	B01CV1FFSM	13.95		12.95	fixed	12	11.15										
NC-LNGJCK100	B06XBSLVWD	20.95	47														
NC-LNGJCK50	B06XC42WGV	17.95	172														
NC-LORN-180C	B01CO7I06W	14.99															
NC-LPHENYLAL180	B01CUP9W60	12.95															
NC-LPROL250G	B0896RPH29	17.95															
NC-LTHEAN100G	B01AAVGK70	15.95															
NC-LTHEAN240	B0731JC54K	18.95															
NC-LTYRO500G	B078THL2V5	26.95															
NC-LTYROS100G	B00ZJ2H5PM	13.95															
NC-LTYROS180C	B01AMSMDY0	11.98															
NC-LTYROS250G	B078TM4G99	18.95															
NC-MACA-180C	B016398GQG	12.95															
NC-MALIC1LB	B08L5P55GR	14.95															
NC-MALTODX2LB	B079V7GL7F	14.95															
NC-MALTODX4LB	B079V9KD8T	22.95															
NC-MALTODX8LB	B079V5NPM7	35.95															
NC-MAR-CLLGN8	B07X4CHJQ9	24.95															
NC-MARSHMALL120C	B08DXKZBLH	11.95															
NC-MCT150SFG	B07NQXWR5K	11.75															
NC-MCT1LB-VAN	B07VJLB35V	23.95															
NC-MCT300SFG	B07Q23TF8J	19.95															
NC-MCT8OZ-1	B076C4MPDX	13.95		13.95	fixed	50	12.99										A_FOOD_GEN
NC-MELAT240C	B01A1938YE	10.00															
NC-MELATON10MG-180GUM	B0916DK25V	16.95															
NC-METHYLFOL120C	B07T8C9N97	12.95															
NC-MG_OXID-375MG240	B092RG7Q9K	10.99															
NC-MLKTHSTL240C	B01CTFTIU6	13.99		13.99	fixed	50	13.49										
NC-MSM500G	B01BCR9852	13.95															
NC-MUCNA-PRUR250G	B07K6Y94FS	19.95															
NC-MUCPRUR120C	B07JHN2JK6	13.95															
NC-MULTIV-01	B01JQBKJ72	14.95	250														
NC-MULTIV-02	B01JQBKJ7W	26.95	150														
NC-MULTIV-03	B01JQBKJ0E	38.95	150														
NC-MULTIV-A1	B01JQBKJ72	13.95															
NC-MULTIVMEN1	B06WP6KQKH	14.95	250														
NC-MULTIVMEN2	B06VWDDMXX	26.95	103														
